year,week,district,avg_temp,humidity,precipitation,wind_speed
2020,4,Kandy,22.6,85.9,21.36,11.73
2020,4,Kegalle,27.44,76.23,17.47,23.29
2020,4,Kilinochchi,26.77,77.76,3.24,24.81
2020,4,Kurunegala,27.71,75.6,25.13,23.29
2020,4,Mannar,27.09,76.29,1.13,30.3
2020,4,Matale,25.27,79.2,21.89,16.24
2020,4,Matara,27.2,82.81,5.4,27.44
2020,4,Monaragala,22.97,82.07,36.19,21.86
2020,4,Mullaitivu,26.64,77.56,9,21.97
2020,4,Nuwara Eliya,18.73,82.63,26.64,21.51
2020,4,Polonnaruwa,26.06,83.23,11.68,15.63
2020,4,Puttalam,27.17,77.26,1,24.76
2020,4,Ratnapura,25.46,83.17,7.6,20.9
2020,4,Trincomalee,27.06,77.03,13.7,22.36
2020,4,Vavuniya,26.01,81.74,5.94,18.51
2020,5,Ampara,26.13,74.64,1.4,16.44
2020,5,Anuradhapura,25.61,76.87,0.4,14.81
2020,5,Badulla,20.21,76.63,0.6,14.19
2020,5,Batticaloa,26.93,73.63,1.8,17.76
2020,5,Colombo,27.51,75.23,0.1,16.4
2020,5,Galle,26.86,76.27,0.6,31.59
2020,5,Gampaha,27.43,75.34,0,15.63
2020,5,Hambantota,26.56,78.4,0,28.7
2020,5,Jaffna,27.51,75.23,0.1,16.4
2020,5,Kalmunai,26.61,73.91,2.8,17.49
2020,5,Kalutara,27.1,75.53,0,23.36
2020,5,Kandy,21.99,76.3,0.9,10.7
2020,5,Kegalle,26.73,73.3,0,15.36
2020,5,Kilinochchi,26.69,74.73,1.3,18.99
2020,5,Kurunegala,27.07,72.69,0,15.36
2020,5,Mannar,27.03,72.91,0.2,25.77
2020,5,Matale,24.87,71.3,0.1,12.81
2020,5,Matara,26.71,80.71,0,27.46
2020,5,Monaragala,22.24,72.56,1.2,19.13
2020,5,Mullaitivu,26.59,74.03,2.4,16.6
2020,5,Nuwara Eliya,18.44,63.06,0.1,19.51
2020,5,Polonnaruwa,25.27,79.53,1.38,13.09
2020,5,Puttalam,27.11,72.06,0.1,20.36
2020,5,Ratnapura,24.17,77.11,11.6,24.09
2020,5,Trincomalee,26.79,72.41,1.5,17.66
2020,5,Vavuniya,25.73,77.39,0.73,14.91
2020,6,Ampara,26.29,75.17,4.1,16.87
2020,6,Anuradhapura,25.94,75.27,0,15.84
2020,6,Badulla,20.9,82.51,1.52,10.61
2020,6,Batticaloa,26.96,74.29,2.9,20.16
2020,6,Colombo,27.7,73.04,0.07,21.69
2020,6,Galle,27.13,75.54,6.9,50.14
2020,6,Gampaha,27.6,73.64,0.31,20.39
2020,6,Hambantota,27.07,79.7,0,29.81
2020,6,Jaffna,27.7,73.04,0.07,21.69
2020,6,Kalmunai,26.69,75.1,3.3,18.77
2020,6,Kalutara,27.27,73.56,1.41,33.36
2020,6,Kandy,22.53,78.5,0.01,10.06
2020,6,Kegalle,27.06,72.87,0.21,16.13
2020,6,Kilinochchi,26.73,73.21,0.6,20.59
2020,6,Kurunegala,27.61,71.76,0,16.13
2020,6,Mannar,26.99,73.07,0,28.4
2020,6,Matale,25.47,71.16,0,12.6
2020,6,Matara,27.37,79.11,5.58,36.09
2020,6,Monaragala,22.97,76.36,1.9,14.67
2020,6,Mullaitivu,26.67,72.76,0.9,18.41
2020,6,Nuwara Eliya,18.77,73.74,0.4,12.14
2020,6,Polonnaruwa,25.74,78.04,1,13.17
2020,6,Puttalam,27.33,70.93,0,21.3
2020,6,Ratnapura,24.73,78.5,6.2,33.49
2020,6,Trincomalee,26.87,72,2,19.5
2020,6,Vavuniya,26.03,76.03,0,15.66
2020,7,Ampara,26.94,78.73,13.1,20.51
2020,7,Anuradhapura,26.8,76.41,1.1,18.36
2020,7,Badulla,21.54,86.77,20.43,12.41
2020,7,Batticaloa,27.27,78.56,5.9,24.51
2020,7,Colombo,28.91,72.06,0.13,22.01
2020,7,Galle,26.86,77.76,20.1,34.19
2020,7,Gampaha,28.83,72.51,0.89,21.71
2020,7,Hambantota,27.24,84.1,15.5,32.73
2020,7,Jaffna,28.91,72.06,0.13,22.01
2020,7,Kalmunai,27.04,79.51,9.83,22.36
2020,7,Kalutara,28.63,72.53,3.88,22.13
2020,7,Kandy,23.2,83.03,4.53,12.11
2020,7,Kegalle,28.2,72.2,3.34,21.71
2020,7,Kilinochchi,27.06,75.14,0.9,22.79
2020,7,Kurunegala,28.89,70.19,0.02,21.71
2020,7,Mannar,27.2,74.36,0.5,30.96
2020,7,Matale,26.29,74.06,3.67,15.89
2020,7,Matara,26.86,82.09,29.87,37.31
2020,7,Monaragala,23.4,82.5,20.48,17.76
2020,7,Mullaitivu,26.89,76.21,1.9,20.74
2020,7,Nuwara Eliya,19.01,84.8,19.05,16.1
2020,7,Polonnaruwa,26.54,79.41,2.6,16.57
2020,7,Puttalam,27.83,73.23,0.2,24.44
2020,7,Ratnapura,25.26,82.3,22.7,11.29
2020,7,Trincomalee,27.14,76,4.5,22.87
2020,7,Vavuniya,26.8,76.81,0.5,18.16
2020,8,Ampara,26.66,80.19,85.74,18.93
2020,8,Anuradhapura,26.3,78,35.59,19.53
2020,8,Badulla,20.97,85.99,43.75,14.84
2020,8,Batticaloa,27.11,79.49,79.6,23.24
2020,8,Colombo,28.97,68.73,0,20.93
2020,8,Galle,27.77,75.21,0.6,26.94
2020,8,Gampaha,28.87,68.83,0.12,20.93
2020,8,Hambantota,27.31,81.34,22.3,33.76
2020,8,Jaffna,28.97,68.73,0,20.93
2020,8,Kalmunai,26.84,80.2,76.88,21.13
2020,8,Kalutara,28.76,69.44,0.16,20.93
2020,8,Kandy,22.74,81.99,2.28,15.27
2020,8,Kegalle,28.17,68.64,2.33,20.93
2020,8,Kilinochchi,27.07,75.63,18.71,23.7
2020,8,Kurunegala,28.83,66.96,0.51,20.93
2020,8,Mannar,27.27,74.24,3.91,31.14
2020,8,Matale,25.74,74,3.24,17.83
2020,8,Matara,27.49,79.74,15.53,30.84
2020,8,Monaragala,23,80.39,43.72,20.93
2020,8,Mullaitivu,26.79,77.36,18.7,21.14
2020,8,Nuwara Eliya,18.77,78.9,20.24,22.11
2020,8,Polonnaruwa,26.16,80.41,31.14,16.49
2020,8,Puttalam,27.83,71.31,0.6,25.13
2020,8,Ratnapura,25.24,80,13.6,11.31
2020,8,Trincomalee,26.93,76.79,22.7,22.67
2020,8,Vavuniya,26.5,78.73,30.91,19.34
2020,9,Ampara,27.01,78.84,5.4,17.33
2020,9,Anuradhapura,27.07,75.57,0.1,16.37
2020,9,Badulla,21.73,82.51,2.3,10.9
2020,9,Batticaloa,27.44,78.17,4.2,20.51
2020,9,Colombo,28.99,72.53,0,19.27
2020,9,Galle,27.99,74.31,1.8,27.71
2020,9,Gampaha,28.97,72.2,0,18.3
2020,9,Hambantota,28.16,79.29,0,29.97
2020,9,Jaffna,28.99,72.53,0,19.27
2020,9,Kalmunai,27.16,78.83,6.3,19.29
2020,9,Kalutara,28.67,72.67,0.06,26.86
2020,9,Kandy,23.71,77.37,1.4,12.29
2020,9,Kegalle,28.47,70.74,0,18.01
2020,9,Kilinochchi,27.21,76.19,0.8,20.31
2020,9,Kurunegala,29.11,68.97,0,18.01
2020,9,Mannar,27.53,74.74,0,29.43
2020,9,Matale,26.86,69.53,0,14.4
2020,9,Matara,28.49,77.04,0.72,22.67
2020,9,Monaragala,23.76,77.66,2.1,15.31
2020,9,Mullaitivu,27.04,76.73,1.8,17.96
2020,9,Nuwara Eliya,19.54,75.21,2.6,13.43
2020,9,Polonnaruwa,26.8,78.61,3.7,14.14
2020,9,Puttalam,28.3,70.77,0,22.74
2020,9,Ratnapura,25.91,77.67,16.3,27.27
2020,9,Trincomalee,27.29,75.74,3.2,19.01
2020,9,Vavuniya,27.07,76.87,0.4,16.44
2020,10,Ampara,27.3,73.53,0.93,13.63
2020,10,Anuradhapura,27.6,73.01,1.04,11.47
2020,10,Badulla,22.47,80.06,15.78,9.3
2020,10,Batticaloa,27.39,75.87,0,16.77
2020,10,Colombo,28.57,76.36,2.46,16.01
2020,10,Galle,27.64,79.07,1.98,30.79
2020,10,Gampaha,28.51,76.81,7.95,14.56
2020,10,Hambantota,27.79,81.06,1.6,18.59
2020,10,Jaffna,28.57,76.36,2.46,16.01
2020,10,Kalmunai,27.23,76.23,0.2,16.37
2020,10,Kalutara,28.19,76.59,13.89,23.14
2020,10,Kandy,24.13,77.36,35.33,8.74
2020,10,Kegalle,28.11,75.01,24.02,14.03
2020,10,Kilinochchi,27.49,76.39,3.19,17.27
2020,10,Kurunegala,28.76,73.57,17.24,14.03
2020,10,Mannar,27.44,76.8,0.38,21.86
2020,10,Matale,26.96,70.57,30.71,8.59
2020,10,Matara,27.96,82.56,1.1,19.87
2020,10,Monaragala,24.33,74.23,5.91,11.2
2020,10,Mullaitivu,27.33,77.41,13.1,15.81
2020,10,Nuwara Eliya,20.36,70.87,11.95,8.8
2020,10,Polonnaruwa,27.13,75.94,8.03,12.11
2020,10,Puttalam,28.13,75.39,3.2,15.37
2020,10,Ratnapura,25.71,80.43,86.98,22.8
2020,10,Trincomalee,27.29,75.67,0.3,17.11
2020,10,Vavuniya,27.6,74.79,13.6,11.61
2020,11,Ampara,27.8,73.37,2,16.26
2020,11,Anuradhapura,28.06,71.91,0.6,15.59
2020,11,Badulla,22.71,75.14,0.24,9.99
2020,11,Batticaloa,27.81,75.8,1.3,18.11
2020,11,Colombo,29.21,77.33,21.43,16.67
2020,11,Galle,28.11,75.94,3.21,38.07
2020,11,Gampaha,29.37,75.96,19.33,14.93
2020,11,Hambantota,28.37,76.74,0.1,25.7
2020,11,Jaffna,29.21,77.33,21.43,16.67
2020,11,Kalmunai,27.57,76.29,1.8,18
2020,11,Kalutara,29,77.61,19.9,25.27
2020,11,Kandy,24.16,76.37,0.05,10.44
2020,11,Kegalle,29.07,72.56,18.12,14.29
2020,11,Kilinochchi,27.83,75.06,0.2,20.11
2020,11,Kurunegala,29.64,71.07,17,14.39
2020,11,Mannar,28.13,74.49,0,28.99
2020,11,Matale,27.66,67.59,2.6,11.34
2020,11,Matara,28.7,76.54,2.34,26.23
2020,11,Monaragala,24.81,70.3,3.4,13.43
2020,11,Mullaitivu,27.64,75.69,0.3,17.54
2020,11,Nuwara Eliya,21,64.84,0.01,10.83
2020,11,Polonnaruwa,27.61,75.47,1.1,14.46
2020,11,Puttalam,28.91,71.03,0.5,20.63
2020,11,Ratnapura,26.11,80.94,30.1,26.5
2020,11,Trincomalee,27.73,74.94,0.8,18.47
2020,11,Vavuniya,28.04,73.97,0.6,15.43
2020,12,Ampara,27.73,77.54,6.66,14.34
2020,12,Anuradhapura,28.73,71.04,14.84,12.7
2020,12,Badulla,22.73,79.67,9.93,11.84
2020,12,Batticaloa,28.03,78.4,2.9,17.39
2020,12,Colombo,28.61,79,62.6,16.23
2020,12,Galle,28,78.66,10.31,30.94
2020,12,Gampaha,28.53,79.51,52.38,15.66
2020,12,Hambantota,28.29,80.54,6.9,20.21
2020,12,Jaffna,28.61,79,62.6,16.23
2020,12,Kalmunai,27.76,78.77,4.49,16.76
2020,12,Kalutara,28.63,79.3,51.93,21.44
2020,12,Kandy,24.66,75.41,10.98,10.01
2020,12,Kegalle,28.2,77.64,57.08,15.57
2020,12,Kilinochchi,28.29,77.37,1.1,20.11
2020,12,Kurunegala,28.81,76.66,61.46,15.57
2020,12,Mannar,28.63,77.27,1.6,19.79
2020,12,Matale,27.51,71.16,14.77,9.81
2020,12,Matara,28.1,80.97,11.48,23.29
2020,12,Monaragala,24.5,76.21,8.84,14.74
2020,12,Mullaitivu,28.14,77.81,1.6,17.7
2020,12,Nuwara Eliya,20.43,71.5,2.1,20.17
2020,12,Polonnaruwa,28,76.29,7.81,14.44
2020,12,Puttalam,29.16,75.6,3.3,16.36
2020,12,Ratnapura,25.91,82.31,23.2,21.44
2020,12,Trincomalee,27.96,78.21,3.2,18.53
2020,12,Vavuniya,28.84,72.06,3.35,13.59
2020,13,Ampara,28.23,72.39,4.98,16.36
2020,13,Anuradhapura,28.63,70.21,0.64,14.77
2020,13,Badulla,22.91,74.49,1.12,11.5
2020,13,Batticaloa,28.4,73.73,0.2,19.44
2020,13,Colombo,29.09,78.57,7.13,15.36
2020,13,Galle,28.43,75.44,10.83,39.74
2020,13,Gampaha,28.97,78.93,5.6,15.36
2020,13,Hambantota,27.51,76.09,0.8,29.87
2020,13,Jaffna,29.09,78.57,7.13,15.36
2020,13,Kalmunai,28.14,74.01,3.18,18.9
2020,13,Kalutara,29.07,78.29,8.34,15.36
2020,13,Kandy,24.63,71.36,10.98,10.64
2020,13,Kegalle,28.59,76.73,14.92,15.36
2020,13,Kilinochchi,28.21,74.4,0,19.29
2020,13,Kurunegala,29.11,75.8,20.34,15.36
2020,13,Mannar,28.54,72.41,0.2,27.57
2020,13,Matale,27.8,67.11,12.12,11.46
2020,13,Matara,28.04,77.86,7.57,24.8
2020,13,Monaragala,24.94,71.33,2.81,15.26
2020,13,Mullaitivu,28.19,75.01,0,17.23
2020,13,Nuwara Eliya,20.81,63.96,0.08,17.36
2020,13,Polonnaruwa,28.03,73.96,3.85,13.99
2020,13,Puttalam,28.94,74.14,14.3,19.71
2020,13,Ratnapura,25.79,80.59,54.29,8.09
2020,13,Trincomalee,28.24,73.37,0.3,18.33
2020,13,Vavuniya,28.5,72.63,0.1,14.4
2020,14,Ampara,28.41,73.54,7.83,14.36
2020,14,Anuradhapura,28.73,72.5,7.55,13.31
2020,14,Badulla,23.14,74.81,5.02,9.97
2020,14,Batticaloa,28.47,76.14,0.9,15.47
2020,14,Colombo,28.89,80.04,78.5,15.87
2020,14,Galle,27.89,74.64,34.08,48.24
2020,14,Gampaha,28.74,80.29,43.33,15.87
2020,14,Hambantota,28.16,77.49,0.5,26.96
2020,14,Jaffna,28.89,80.04,78.5,15.87
2020,14,Kalmunai,28.26,76.34,4.44,16.4
2020,14,Kalutara,28.99,79.31,47.45,17.79
2020,14,Kandy,24.7,74.51,5.6,9.71
2020,14,Kegalle,28.23,78.31,45.63,15.06
2020,14,Kilinochchi,28.71,77.06,3.11,17.54
2020,14,Kurunegala,28.81,77.44,54.61,15.06
2020,14,Mannar,28.67,74.8,3.97,23.24
2020,14,Matale,27.53,70.46,10.49,9.34
2020,14,Matara,28.33,79.7,25.82,18.97
2020,14,Monaragala,24.93,71.89,10.15,12.89
2020,14,Mullaitivu,28.57,77.49,5.3,16.2
2020,14,Nuwara Eliya,20.64,68.19,9.48,14.5
2020,14,Polonnaruwa,28.29,75.69,7.01,12.44
2020,14,Puttalam,28.94,75.79,9.5,16.81
2020,14,Ratnapura,26.29,81.51,17.4,18.84
2020,14,Trincomalee,28.41,76.36,2.7,16.26
2020,14,Vavuniya,28.83,75.33,1.1,13.16
2020,15,Ampara,29.19,74.37,9.66,13.61
2020,15,Anuradhapura,29.07,74.53,6.11,11.61
2020,15,Badulla,23.44,79.47,50.88,11.37
2020,15,Batticaloa,29.19,76.53,1.2,16.99
2020,15,Colombo,28.87,79.84,121.82,22.47
2020,15,Galle,27.13,76.36,42.83,53.24
2020,15,Gampaha,28.76,80.23,89.71,21.11
2020,15,Hambantota,27.04,79.81,26.9,27.77
2020,15,Jaffna,28.87,79.84,121.82,22.47
2020,15,Kalmunai,28.93,77.33,3.2,16.36
2020,15,Kalutara,28.6,79.84,84.78,31.77
2020,15,Kandy,25.01,77.21,24.65,9.06
2020,15,Kegalle,28.2,79.59,98.58,16.34
2020,15,Kilinochchi,29.33,76.76,5.56,17.49
2020,15,Kurunegala,28.71,78.97,131.52,16.34
2020,15,Mannar,29.29,77.63,6.58,24.49
2020,15,Matale,27.33,76.07,38.83,8.17
2020,15,Matara,28.36,79.9,46.7,20.74
2020,15,Monaragala,25.27,77.24,26.79,13.34
2020,15,Mullaitivu,29.09,77.53,12.4,16
2020,15,Nuwara Eliya,20.9,74.53,1.44,15.24
2020,15,Polonnaruwa,29.31,73.39,17.02,11.89
2020,15,Puttalam,29.24,77.7,21.8,14.91
2020,15,Ratnapura,25.4,84.19,71.95,34.01
2020,15,Trincomalee,29.3,75.41,7.7,17.49
2020,15,Vavuniya,29.19,76.1,13.44,11.86
2020,16,Ampara,28.44,79.56,13.04,12.34
2020,16,Anuradhapura,28.7,77.83,70.88,11.33
2020,16,Badulla,22.77,85.93,24.48,9.21
2020,16,Batticaloa,29.04,78.54,9.9,16.53
2020,16,Colombo,27.69,80.63,163.31,33.07
2020,16,Galle,26.11,80.91,69.45,42.89
2020,16,Gampaha,27.7,81.77,164.64,32.24
2020,16,Hambantota,26.97,83.06,48.8,20.36
2020,16,Jaffna,27.69,80.63,163.31,33.07
2020,16,Kalmunai,28.67,79.64,13.75,15.23
2020,16,Kalutara,26.27,80.99,174.88,40.07
2020,16,Kandy,24.16,84.17,30.4,11.8
2020,16,Kegalle,27.51,82.93,230.98,18.5
2020,16,Kilinochchi,29.49,77.61,9.14,18.21
2020,16,Kurunegala,27.9,82.56,311.03,18.5
2020,16,Mannar,29.54,75.61,22.27,19.73
2020,16,Matale,26.51,81.36,57.1,10.13
2020,16,Matara,28,85.13,105.57,19.86
2020,16,Monaragala,24.3,85.33,18.32,10.91
2020,16,Mullaitivu,29.21,78.63,3.2,16.03
2020,16,Nuwara Eliya,19.97,87.13,43.27,11.63
2020,16,Polonnaruwa,28.77,77.06,29.51,12.09
2020,16,Puttalam,28.93,78.33,72.7,13.11
2020,16,Ratnapura,23.1,86.93,45.5,44.21
2020,16,Trincomalee,29.2,77.53,7.6,17.19
2020,16,Vavuniya,29.17,77.43,37.91,11.09
2020,17,Ampara,29.07,78.47,14.11,12.27
2020,17,Anuradhapura,28.77,79.14,64.16,10.64
2020,17,Badulla,23.76,81.83,23.7,7.56
2020,17,Batticaloa,29.54,78.27,6.4,17.69
2020,17,Colombo,28.6,83.21,87.98,24.96
2020,17,Galle,27.19,83.1,69.2,36.81
2020,17,Gampaha,28.4,84.33,88.27,24.91
2020,17,Hambantota,27.09,83.01,57,26.49
2020,17,Jaffna,28.6,83.21,87.98,24.96
2020,17,Kalmunai,29.17,79.56,10.58,15.89
2020,17,Kalutara,28.01,83.31,96.15,26.7
2020,17,Kandy,24.79,83.59,47.7,7.16
2020,17,Kegalle,28.01,83.89,111.04,14.09
2020,17,Kilinochchi,29.87,77.6,25.6,15.7
2020,17,Kurunegala,28.46,83.4,146.49,15.09
2020,17,Mannar,29.71,79.64,1.14,24.53
2020,17,Matale,26.73,82.26,58.32,8.84
2020,17,Matara,28.09,86.47,103.2,30.64
2020,17,Monaragala,24.79,84.23,20.55,7.99
2020,17,Mullaitivu,29.33,79.77,51.9,15.1
2020,17,Nuwara Eliya,20.37,86.13,13.07,11.74
2020,17,Polonnaruwa,29.5,76.04,30.98,10.07
2020,17,Puttalam,29.19,81.13,2.71,15.89
2020,17,Ratnapura,25.14,87.19,68.73,27.83
2020,17,Trincomalee,29.79,76.27,3.4,15.57
2020,17,Vavuniya,29.33,78.81,61.24,9.44
2020,18,Ampara,29.5,75.76,13.56,10.89
2020,18,Anuradhapura,29.43,76.9,39.77,10.4
2020,18,Badulla,24.47,77.63,3.5,10.47
2020,18,Batticaloa,29.61,78.39,7,16.06
2020,18,Colombo,29.8,81.8,14.51,15.23
2020,18,Galle,27.8,84.09,27.31,31.63
2020,18,Gampaha,29.57,83.01,17.23,14.6
2020,18,Hambantota,27.2,83.13,61.9,26.53
2020,18,Jaffna,29.8,81.8,14.51,15.23
2020,18,Kalmunai,29.3,79.11,12.03,14.09
2020,18,Kalutara,29.41,82.13,21.31,17.74
2020,18,Kandy,25.26,81.07,13.01,7.99
2020,18,Kegalle,28.74,83.04,28.46,14.37
2020,18,Kilinochchi,30.11,77.89,8.51,13.06
2020,18,Kurunegala,29.14,82.91,40.88,14.29
2020,18,Mannar,29.94,79.79,29.43,22.06
2020,18,Matale,27.2,80.54,15.52,10.54
2020,18,Matara,27.94,86.13,54.7,24.53
2020,18,Monaragala,25.13,82.81,22.09,8.73
2020,18,Mullaitivu,29.73,80.01,4.3,13.37
2020,18,Nuwara Eliya,20.6,83.71,17.73,11.06
2020,18,Polonnaruwa,29.63,76.41,12.78,10.09
2020,18,Puttalam,29.7,80.63,14.1,16.16
2020,18,Ratnapura,26.03,85.87,36.9,15.16
2020,18,Trincomalee,29.61,77.39,9.5,14.91
2020,18,Vavuniya,29.93,77.33,4.63,10.07
2020,19,Ampara,28.77,78.71,29.25,11.67
2020,19,Anuradhapura,28.13,83.21,132.55,10.19
2020,19,Badulla,23.2,87.96,166.88,8.01
2020,19,Batticaloa,29.2,79.31,10.3,14.99
2020,19,Colombo,27.83,84.31,84.24,33.84
2020,19,Galle,25.77,84.46,80.49,44.67
2020,19,Gampaha,27.81,85.49,67.33,33.41
2020,19,Hambantota,26.64,85.91,119.7,23.7
2020,19,Jaffna,27.83,84.31,84.24,33.84
2020,19,Kalmunai,28.83,80.39,13.16,12.9
2020,19,Kalutara,26.66,84.1,71.67,39.36
2020,19,Kandy,24.19,88.14,154.68,6.36
2020,19,Kegalle,27.61,86.83,133.24,20.16
2020,19,Kilinochchi,29.44,80.03,87.08,13.13
2020,19,Kurunegala,28,86.6,154.69,20.16
2020,19,Mannar,29.33,80.26,51.83,24.39
2020,19,Matale,26.13,86.13,154.05,9.97
2020,19,Matara,27.86,89.09,87.1,31.26
2020,19,Monaragala,24.53,86.46,114.85,10.81
2020,19,Mullaitivu,28.89,82.93,169.7,12.61
2020,19,Nuwara Eliya,20,90.71,84.42,7.23
2020,19,Polonnaruwa,28.46,82.19,114.74,8.59
2020,19,Puttalam,28.66,83.19,77.72,18.41
2020,19,Ratnapura,24.11,86.74,73.6,40.67
2020,19,Trincomalee,29.09,78.64,14.4,13.64
2020,19,Vavuniya,28.57,83.8,209.54,10.04
2020,20,Ampara,28.86,81.83,23.68,11.07
2020,20,Anuradhapura,28.2,85.83,40.93,14.24
2020,20,Badulla,24.13,84.39,75.42,12.59
2020,20,Batticaloa,29.34,79.57,51.7,21.16
2020,20,Colombo,28.13,85.54,209.01,25.67
2020,20,Galle,25.4,81.41,176.22,47.67
2020,20,Gampaha,28.29,87.91,198.39,24.36
2020,20,Hambantota,27.26,85.39,85,28.51
2020,20,Jaffna,28.13,85.54,209.01,25.67
2020,20,Kalmunai,29.11,80.29,31.53,16.81
2020,20,Kalutara,26.53,84.26,252.41,37.27
2020,20,Kandy,24.46,88.71,140.74,13.37
2020,20,Kegalle,28.19,88.77,269.07,17.17
2020,20,Kilinochchi,29.47,81.77,30.17,15.79
2020,20,Kurunegala,28.6,88.37,288.78,17.37
2020,20,Mannar,29.69,79.67,30.36,27.2
2020,20,Matale,26.2,87.76,143.92,13.13
2020,20,Matara,28.49,87.49,188.5,29.81
2020,20,Monaragala,25.41,84.6,91.6,14.11
2020,20,Mullaitivu,28.8,85.11,28.5,14.67
2020,20,Nuwara Eliya,20.54,90.34,148.97,18.26
